director_name,mean_imdb_score
Jeremy Degruson,6.3
Jim Sheridan,6.3
Joe Pytka,6.3
John Erick Dowdle,6.3
Jon Lucas,6.3
Jun Falkenstein,6.3
Kevin Brodie,6.3
Lena Dunham,6.3
Mark Illsley,6.3
Mark Waters,6.3
Michael Dowse,6.3
Michael O. Sajbel,6.3
Miguel Sapochnik,6.3
Nanette Burstein,6.3
Neill Dela Llana,6.3
Oren Peli,6.3
P.J. Hogan,6.3
Philip G. Atwell,6.3
Rachel Perkins,6.3
Robert Lee King,6.3
Rowan Joffe,6.3
Sngmoo Lee,6.3
Stephen Gaghan,6.3
Steve Bendelack,6.3
Steve Carver,6.3
Steven R. Monroe,6.3
Todd Strauss-Schulson,6.3
Tom Vaughan,6.3
Troy Duffy,6.3
Ulu Grosbard,6.3
Wally Pfister,6.3
Will Gluck,6.3
Dean Parisot,6.28
Danny DeVito,6.27
Jean-Marie PoirÃ©,6.27
Sergey Bodrov,6.27
John Singleton,6.26
Andy Tennant,6.25
Tommy Wirkola,6.25
Vincent Gallo,6.25
Bobby Farrelly,6.24
Alexandre Aja,6.23
Olivier Megaton,6.23
Peter Howitt,6.23
Akiva Goldsman,6.2
Alexander Witt,6.2
Allen Hughes,6.2
AndrÃ©s Muschietti,6.2
Blake Edwards,6.2
Brad Silberling,6.2
Bryan Barber,6.2
Charles Herman-Wurmfeld,6.2
Charles Shyer,6.2
Daryl Wein,6.2
David Anspaugh,6.2
David Mirkin,6.2
David Slade,6.2
Fred Walton,6.2
Frederik Du Chau,6.2
Grant Heslov,6.2
Henry Selick,6.2
James David Pasternak,6.2
James Dodson,6.2
Jeff Garlin,6.2
Joey Lauren Adams,6.2
John Fortenberry,6.2
Jon Amiel,6.2
Jonathan Kesselman,6.2
Josh Gordon,6.2
Ken Kwapis,6.2
Khalid Mohamed,6.2
Kurt Hale,6.2
Lance Hool,6.2
Lloyd Kaufman,6.2
Marc Forby,6.2
Mel Smith,6.2
Michael Dougherty,6.2
Noah Buschel,6.2
Noam Murro,6.2
Peter Webber,6.2
Rafa Lara,6.2
Rodman Flender,6.2
Rupert Wainwright,6.2
Russ Meyer,6.2
Steve Hickner,6.2
Steve Oedekerk,6.2
Tim Blake Nelson,6.2
Tony Jaa,6.2
Tony Maylam,6.2
Vicente Amorim,6.2
Peter Segal,6.19
Roland Emmerich,6.19
Breck Eisner,6.17
Dominic Sena,6.17
Kenny Ortega,6.17
Nora Ephron,6.17
Andrew Fleming,6.15
George Armitage,6.15
Michael Polish,6.15
Mike Nawrocki,6.15
Harold Becker,6.14
Scott Derrickson,6.14
Charles Martin Smith,6.13
Jake Kasdan,6.13
Sean Anders,6.13
Stephen Herek,6.13
Tarsem Singh,6.13
Wes Craven,6.11
Adam Carolla,6.1
Ãlex de la Iglesia,6.1
Alex Smith,6.1
Andy Cadiff,6.1
Bill Duke,6.1
Bob Rafelson,6.1
Cedric Nicolas-Troyan,6.1
Christian Ditter,6.1
Damon Santostefano,6.1
Daniel Lee,6.1
Dario Argento,6.1
